,old_request_domains,new_request_domains
0,fangraphs.com,www.fangraphs.com
1,caribbeancom.com,www.caribbeancom.com
2,bein-live.net,www.yalla-shoot-new.tv
3,c.amazon-adsystem.com,
4,blogs.fangraphs.com,blogs.fangraphs.com
5,wdr.de,www1.wdr.de
6,jelly2games.com,jelly2games.com
7,gum.criteo.com,ag.gbc.criteo.com
8,www.google.com,googleads.g.doubleclick.net
9,subaruofamerica.demdex.net,subaruofamerica.demdex.net
10,t.myvisualiq.net,t.myvisualiq.net
11,ag.gbc.criteo.com,gem.gbc.criteo.com
12,whos.amung.us,widgets.amung.us
13,c.amazon-adsystem.com,
14,image8.pubmatic.com,image8.pubmatic.com
15,sb.scorecardresearch.com,sb.scorecardresearch.com
16,sync.richaudience.com,sync.richaudience.com
17,b.t.tailtarget.com,b.t.tailtarget.com
18,sync.search.spotxchange.com,sync.search.spotxchange.com
19,sync.richaudience.com,sync.richaudience.com
20,2b3c757d.de.ioam.de,2b3c757d.de.ioam.de
21,sync.search.spotxchange.com,sync.search.spotxchange.com
22,sync.search.spotxchange.com,sync.search.spotxchange.com
23,sync.richaudience.com,sync.richaudience.com
24,sync.richaudience.com,sync.richaudience.com
25,sync.richaudience.com,sync.richaudience.com
26,onetag-sys.com,s.amazon-adsystem.com
27,onetag-sys.com,cm.g.doubleclick.net
28,cm.g.doubleclick.net,cm.g.doubleclick.net
29,cm.g.doubleclick.net,cm.g.doubleclick.net
30,cm.g.doubleclick.net,onetag-sys.com
31,cm.g.doubleclick.net,onetag-sys.com
32,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
33,ups.analytics.yahoo.com,ups.analytics.yahoo.com
34,www.d2pass.com,login.d2pass.com
35,login.d2pass.com,login.d2pass.com
36,www.d2pass.com,login.d2pass.com
37,login.d2pass.com,login.d2pass.com
38,ap.lijit.com,ap.lijit.com
39,www.d2pass.com,login.d2pass.com
40,login.d2pass.com,login.d2pass.com
41,ib.adnxs.com,ib.adnxs.com
42,www.d2pass.com,login.d2pass.com
43,login.d2pass.com,login.d2pass.com
44,ib.adnxs.com,onetag-sys.com
45,match.adsrvr.org,match.adsrvr.org
46,match.adsrvr.org,match.adsrvr.org
47,sync.mathtag.com,pixel.tapad.com
48,pixel.tapad.com,pixel.tapad.com
49,secure-assets.rubiconproject.com,eus.rubiconproject.com
50,secure.adnxs.com,secure.adnxs.com
51,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
52,x.bidswitch.net,x.bidswitch.net
53,secure.adnxs.com,s.seedtag.com
54,ssc-cms.33across.com,de.tynt.com
55,b1sync.zemanta.com,s.seedtag.com
56,ups.analytics.yahoo.com,ups.analytics.yahoo.com
57,ssum-sec.casalemedia.com,s.seedtag.com
58,sync.smartadserver.com,sync.smartadserver.com
59,ad.360yield.com,ad.360yield.com
60,de.tynt.com,hde.tynt.com
61,secure.adnxs.com,secure.adnxs.com
62,secure-assets.rubiconproject.com,eus.rubiconproject.com
63,match.adsrvr.org,match.adsrvr.org
64,secure.adnxs.com,secure.adnxs.com
65,match.adsrvr.org,match.adsrvr.org
66,ups.analytics.yahoo.com,ups.analytics.yahoo.com
67,onetag-sys.com,cm.g.doubleclick.net
68,onetag-sys.com,s.amazon-adsystem.com
69,b1sync.zemanta.com,visitor-usa02.omnitagjs.com
70,sync.search.spotxchange.com,sync.search.spotxchange.com
71,b1sync.zemanta.com,visitor-usa02.omnitagjs.com
72,sync.mathtag.com,onetag-sys.com
73,secure.adnxs.com,visitor-usa02.omnitagjs.com
74,secure.adnxs.com,visitor-usa02.omnitagjs.com
75,creativecdn.com,creativecdn.com
76,pixel-eu.rubiconproject.com,s.seedtag.com
77,secure.adnxs.com,secure.adnxs.com
78,sync.mathtag.com,rtb-csync.smartadserver.com
79,pixel-eu.rubiconproject.com,onetag-sys.com
80,c.amazon-adsystem.com,
81,pixel-eu.rubiconproject.com,visitor.omnitagjs.com
82,secure.adnxs.com,rtb-csync.smartadserver.com
83,ib.adnxs.com,ib.adnxs.com
84,gum.criteo.com,ag.gbc.criteo.com
85,ib.adnxs.com,onetag-sys.com
86,sb.scorecardresearch.com,sb.scorecardresearch.com
87,b.t.tailtarget.com,b.t.tailtarget.com
88,vtrk.doubleverify.com,tpsc-video-uw.doubleverify.com
89,vtrk.doubleverify.com,tpsc-video-uw.doubleverify.com
90,ssc-cms.33across.com,de.tynt.com
91,ssc-cms.33across.com,de.tynt.com
92,ssc-cms.33across.com,de.tynt.com
93,ssc-cms.33across.com,de.tynt.com
94,ssc-cms.33across.com,de.tynt.com
95,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
96,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
97,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
98,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
99,ssum-sec.casalemedia.com,ssum-sec.casalemedia.com
100,ib.adnxs.com,ib.adnxs.com
101,ib.adnxs.com,ib.adnxs.com
102,de.tynt.com,de.tynt.com
103,de.tynt.com,de.tynt.com
104,de.tynt.com,de.tynt.com
105,de.tynt.com,de.tynt.com
106,ib.adnxs.com,ib.adnxs.com
