,index,old_request_url,new_request_url,cleaned_old_request,cleaned_new_request
0,0,https://fangraphs.com/,https://www.fangraphs.com/,https://fangraphs.com/,https://www.fangraphs.com/
1,1,https://caribbeancom.com/,https://www.caribbeancom.com/,https://caribbeancom.com/,https://www.caribbeancom.com/
2,2,https://bein-live.net/,https://www.yalla-shoot-new.tv/,https://bein-live.net/,https://www.yalla-shoot-new.tv/
3,3,https://c.amazon-adsystem.com/aax2/apstag.js,moz-extension://36d20d7b-d4bf-44b4-8151-124d767848a2/shims/apstag.js,https://c.amazon-adsystem.com/aax2/apstag.js,moz-extension://36d20d7b-d4bf-44b4-8151-124d767848a2/shims/apstag.js
4,4,http://blogs.fangraphs.com/wp-content/uploads/2022/02/240x240-optimized-dark.jpg,https://blogs.fangraphs.com/wp-content/uploads/2022/02/240x240-optimized-dark.jpg,http://blogs.fangraphs.com/wp-content/uploads/2022/02/240x240-optimized-dark.jpg,https://blogs.fangraphs.com/wp-content/uploads/2022/02/240x240-optimized-dark.jpg
5,5,https://wdr.de/,https://www1.wdr.de/index.html,https://wdr.de/,https://www1.wdr.de/index.html
6,6,https://jelly2games.com/,https://jelly2games.com/en,https://jelly2games.com/,https://jelly2games.com/en
7,7,https://gum.criteo.com/sid/json?origin=prebid&topUrl=https%3A%2F%2Fgourmetdemexico.com.mx%2F&domain=gourmetdemexico.com.mx&cw=1&lsw=1,https://ag.gbc.criteo.com/idsd?cpp=BlFCB3wwbXVUdzVybWViZ2xqOFQ2ODFJamxpNXk5bE0wR2IzTXV1bEJDT1huTzQ3MWZqSERjY1ZSR01vU2pUd3FPeXJUdUwzMG5XUzdyS3FsOVVoWVgweXF6QTB4YjhTMm8rL2ErdlpHdDBFQ2QwOUVFblNmSWQ4NldDNVNpakFTUlNDQUV2YlJ5T1lFbWVmQjRCUURDaGdIV3BQeExTRmNtMTJUQVpYeVRocE1mNm9FRE1GSUgzZ1hRdHIzd1Q2ak1TQkRuN3Iwcnp4ZVIvSTYvcVFlemVzU2FQYXh0RGtrQzlvS3dLSHlpMVMrOWhqVHJ4c3dndzZaT1hzVnNMZTdXMWUxfA&cppv=2,https://gum.criteo.com/sid/json,https://ag.gbc.criteo.com/idsd
8,8,https://www.google.com/pagead/drt/ui,https://googleads.g.doubleclick.net/pagead/drt/si?st=NO_DATA,https://www.google.com/pagead/drt/ui,https://googleads.g.doubleclick.net/pagead/drt/si
9,9,https://subaruofamerica.demdex.net/event?d_event=imp&d_src=84816&d_site=2710100&d_creative=162048224&d_placement=329798349&d_campaign=27336478&c_geo=ct=US&st=CA&city=19094&dma=208&zp=95620&bw=4,https://subaruofamerica.demdex.net/firstevent?d_event=imp&d_src=84816&d_site=2710100&d_creative=162048224&d_placement=329798349&d_campaign=27336478&c_geo=ct=US&st=CA&city=19094&dma=208&zp=95620&bw=4,https://subaruofamerica.demdex.net/event,https://subaruofamerica.demdex.net/firstevent
10,10,https://t.myvisualiq.net/impression_pixel?r=1433065561&et=i&ago=212&ao=521&aca=27336478&si=2710100&ci=162048224&pi=329798349&ad=524179864&advt=1762894&chnl=-7&vndr=115&sz=7466&u=&viq_did=&pt=i,https://t.myvisualiq.net/ul_cb/impression_pixel?r=1433065561&et=i&ago=212&ao=521&aca=27336478&si=2710100&ci=162048224&pi=329798349&ad=524179864&advt=1762894&chnl=-7&vndr=115&sz=7466&u=&viq_did=&pt=i,https://t.myvisualiq.net/impression_pixel,https://t.myvisualiq.net/ul_cb/impression_pixel
